date,tic,open,high,low,close,volume,day,kdjk,kdjd,kdjj,rsi_6,rsi_12,rsi_24,amount,change,daily_variance
2008-08-25,600132.SH,10.3248,10.7707,10.2374,10.5172,7189.16,0,50.82192637039823,50.273975456799405,51.917828197595895,0.0,0.0,0.0,75609.83355200001,0.018293842467577016,0.05070741261932839
2008-08-26,600132.SH,10.4735,10.4735,9.5293,9.7304,14881.97,1,39.28110165738273,46.60968419032718,24.62393659149383,0.0,0.0,0.0,144807.520888,-0.07636890569760751,0.09703609306914417
2008-08-27,600132.SH,9.7129,9.9227,9.0484,9.3632,15602.9,2,32.28002917978296,41.83313252014577,13.173822499057337,0.0,0.0,0.0,146093.07328,-0.0373483424470265,0.09337619617224878
2008-08-28,600132.SH,9.4069,9.5642,9.267,9.4069,8179.79,3,28.45841578367693,37.37489360798949,10.62546013505181,4.8767483384584125,4.1961511275888626,3.9080689625618987,76946.466551,0.0,0.03159383006091275
2008-08-29,600132.SH,9.4419,9.7828,9.4069,9.7129,9247.74,4,31.832986705462357,35.52759130714711,24.443777502092843,32.52621024486341,27.450901902961462,25.25241219193701,89822.37384599999,0.02790103882465577,0.03870110883464256
2008-09-01,600132.SH,9.6254,9.9052,9.4506,9.6167,10400.69,0,32.22084925305997,34.425343955784726,27.81185984761045,29.311959590220624,25.341303046315844,23.5373109142388,100020.315523,-0.0009046762402904365,0.04727193319953841
2008-09-02,600132.SH,9.5118,9.6866,9.4069,9.6517,7492.48,1,33.15681304787984,34.00250031981643,31.465438504006656,32.23558796997595,27.551120847598185,25.459325146110288,72315.169216,0.014494855828506977,0.0289793507879441
2008-09-03,600132.SH,9.5205,9.6866,9.1708,9.267,9903.05,2,26.335318706521658,31.446773115384836,16.1124098887953,20.857422369220785,20.334274648786362,19.761954493122303,91771.56434999999,-0.02735513111039179,0.055659868350059406
2008-09-04,600132.SH,9.267,9.4506,9.1796,9.3369,4994.0,3,23.140497941993154,28.678014724254275,12.065464377470917,26.513077871765134,24.26651168770374,23.027830623682476,46628.4786,0.007486424830511253,0.029024622733455324
2008-09-05,600132.SH,9.0922,9.1796,8.8386,8.9435,7181.24,4,17.565763486192687,24.973930978233746,2.749428502110568,17.882506151057186,18.62285908526475,18.585307443299328,64225.41994,-0.01662660032425782,0.03812824956672456
